saveFolder,simLabel,IIweights.0,IEweights.2,IIweights.2,IIweights.1,EICellTypeGain.SOM,EICellTypeGain.PV,EICellTypeGain.NGF,EICellTypeGain.VIP,weightLong.S1,weightLong.S2,weightLong.TPO,weightLong.TVL,weightLong.OC,EEGain,weightLong.cM1,weightLong.M2,IEweights.0,IEweights.1,NGF1,IT2,SOM2,PV2,VIP2,NGF2,IT4,SOM4,PV4,VIP4,NGF4,IT5A,SOM5A,PV5A,VIP5A,NGF5A,IT5B,PT5B,SOM5B,PV5B,VIP5B,NGF5B,IT6,CT6,SOM6,PV6,VIP6,NGF6,TPO,S1,S2,cM1,M2,OC,TVL,loss
./batchData/optuna_batch,optuna_0f8906ab,1.101719752539922,0.927051922026221,0.7854305217904908,0.7379927293436939,1.3016426438402953,2.533386512582974,1.6423525175757672,5.152619925937889,0.279439795847752,0.41541958378238025,0.4978475636371773,0.1422242631264033,0.5303791706263163,1.4667393428927085,0.5419658719321149,0.2696345950523551,1.190514183622983,1.1257132897776958,8.810752688172043,4.27456647398844,14.457142857142857,7.089887640449438,28.766355140186917,21.69736842105263,4.552803129074316,19.75,6.5,50.833333333333336,49.857142857142854,4.517080745341615,13.314814814814815,14.228260869565217,52.46153846153846,53.6,22.94773519163763,5.068989547038328,14.658783783783784,11.533898305084746,28.0,39.59375,12.178802588996763,2.5396440129449838,29.24137931034483,0.47413793103448276,28.232142857142858,1.8875,2.297,2.593,2.564,1.284,1.262,2.515,5.948,5.349315246467468
./batchData/optuna_batch,optuna_ad7c7004,1.2938769123330478,0.7819154973492988,0.9781139846187423,1.0256839191096707,4.833666453485605,2.710804364065471,1.06586122946768,5.226342779774577,0.21177012304542975,0.4307169602062115,0.4346844665361896,0.5880075390430699,0.11230323956459141,1.4917897251168624,0.1604246828622637,1.1152108017370723,1.1994795129439495,0.9326700677607285,5.402150537634409,3.7976878612716765,17.37142857142857,6.550561797752809,5.308411214953271,10.039473684210526,8.496740547588006,14.416666666666666,8.458333333333334,11.5,27.0,3.169254658385093,5.018518518518518,34.79347826086956,2.6923076923076925,28.6,6.289198606271777,15.464808362369338,5.95945945945946,41.85875706214689,3.088888888888889,15.53125,7.8454692556634305,0.01699029126213592,9.057471264367816,15.870689655172415,2.544642857142857,3.8625,2.297,2.593,2.564,1.284,1.262,2.515,5.948,37.8312996743635
./batchData/optuna_batch,optuna_eade4347,1.257029115924169,0.9549565279195518,1.1625632890285496,1.1420631012275417,5.886766631999726,2.5315356205143784,0.833352621958921,4.915794600970177,0.3320424939273605,0.4317886309481054,0.5374275895286931,0.29620757106346024,0.24739916844194468,1.4432556107963548,0.22161413914266007,0.30280799501324684,1.2360132866430142,1.1235857646954925,4.834408602150537,7.838150289017341,6.714285714285714,8.606741573033707,12.158878504672897,10.302631578947368,5.9061277705345505,4.166666666666667,7.270833333333333,16.833333333333332,44.285714285714285,3.3369565217391304,1.5185185185185186,37.77173913043478,25.846153846153847,24.3,1.7581881533101045,7.267595818815331,1.989864864864865,36.5819209039548,18.11111111111111,14.65625,8.09546925566343,0.03317152103559871,18.64367816091954,3.6810344827586206,2.232142857142857,1.0,2.297,2.593,2.564,1.284,1.262,2.515,5.948,37.88527863910389
./batchData/optuna_batch,optuna_1b2bfdc3,1.327520027116706,0.7837084148874194,1.0053362590731751,1.1955185784372606,4.592060737300617,2.9215581601763234,0.9176952458873348,5.183473134970992,0.3214504481795253,0.4667023457454099,0.5117097222389807,0.42826701113193644,0.16783600589758418,1.4277434264247348,0.1859295519072995,1.07048980900993,1.2355672249637506,0.971021009736027,3.9655913978494626,5.260693641618497,4.8,17.53932584269663,7.009345794392523,8.539473684210526,2.1577574967405475,2.75,22.041666666666668,14.666666666666666,28.0,4.604037267080745,2.5185185185185186,39.05434782608695,4.6923076923076925,13.4,0.9923344947735192,10.245993031358886,2.266891891891892,45.72316384180791,3.6,8.1875,12.217637540453074,0.15857605177993528,19.057471264367816,1.456896551724138,0.2767857142857143,0.9125,2.297,2.593,2.564,1.284,1.262,2.515,5.948,37.94309408005551
./batchData/optuna_batch,optuna_4871b3f0,1.3453179964054922,0.7041743460619173,1.2234380924959194,1.2374923467130368,5.309793252155397,2.8139023643736594,0.7217029260714608,4.236011018058326,0.4329626810977134,0.5861696770877332,0.6385560086815796,0.273011319809961,0.24146884266221297,1.3851877243424826,0.3195919975425964,1.0718617635130976,1.1598704183299346,0.8892975711188041,4.625806451612903,5.284393063583815,3.8,8.44943820224719,9.16822429906542,9.552631578947368,5.78748370273794,1.6666666666666667,10.25,11.5,40.714285714285715,3.5667701863354035,2.111111111111111,40.54347826086956,8.923076923076923,21.3,13.74355400696864,8.229268292682926,2.820945945945946,42.76271186440678,6.355555555555555,12.15625,7.5210355987055015,0.21925566343042072,6.482758620689655,28.025862068965516,7.160714285714286,1.275,2.297,2.593,2.564,1.284,1.262,2.515,5.948,37.988974193361216
./batchData/optuna_batch,optuna_b2debb8c,1.261028099725618,0.9556306013873965,1.1627197235280364,1.1043311306238262,5.527611841189581,2.54616747090858,0.8565355140475004,5.332322468020692,0.33519188278326706,0.43121823019319677,0.5264351710983057,0.28546344359852405,0.19390653606938182,1.4496203664492866,0.1738295831224128,1.072830818297436,1.2284670581852974,0.9879644761074949,4.926881720430107,5.939884393063584,5.0,11.370786516853933,14.233644859813085,12.223684210526315,4.916558018252934,7.25,12.5,23.0,26.142857142857142,4.175465838509317,1.2222222222222223,24.57608695652174,6.538461538461538,35.6,20.926132404181185,6.130313588850174,1.587837837837838,26.096045197740114,8.377777777777778,28.15625,7.555825242718447,0.15776699029126215,9.689655172413794,18.844827586206897,1.6160714285714286,1.325,2.297,2.593,2.564,1.284,1.262,2.515,5.948,38.26003147327266
./batchData/optuna_batch,optuna_ab227f14,1.3281430260082254,0.9209712038954521,1.105831890254886,1.1934590537174057,5.129159988528236,3.0461231808315286,0.7679210521908978,4.642640750464569,0.3302985707508104,0.5232323053863024,0.33102635549688214,0.641330784055885,0.21958614515965086,1.4635810670601928,0.20324160102874958,0.14770729716472542,1.2428117892222548,0.9046079267488201,7.417204301075269,10.608092485549133,4.057142857142857,9.955056179775282,5.616822429906542,11.513157894736842,12.607561929595828,1.6666666666666667,9.5625,10.666666666666666,54.57142857142857,3.4301242236024843,4.111111111111111,35.34782608695652,0.6153846153846154,28.7,4.3533101045296165,10.238327526132403,4.047297297297297,41.50282485875706,2.888888888888889,17.25,4.781553398058253,0.008090614886731391,17.942528735632184,1.6120689655172413,2.0625,0.5625,2.297,2.593,2.564,1.284,1.262,2.515,5.948,38.41654592602042
./batchData/optuna_batch,optuna_c8989460,1.284004481550869,0.7192368764137936,0.7467371369995119,1.1682418048867182,5.762088790846327,3.138230170384382,1.0229698049668288,5.72237317299959,0.20171539323380938,0.4470519948538772,0.4465989498080474,0.2892544189309016,0.22279884921112347,1.408585913451581,0.3367629338511864,0.2359778414269486,1.2710175206391667,0.9861130501344658,9.043010752688172,18.429479768786127,4.457142857142857,7.49438202247191,6.5607476635514015,29.11842105263158,15.739243807040417,3.9166666666666665,2.8125,6.5,68.14285714285714,2.6537267080745344,2.240740740740741,26.57608695652174,7.615384615384615,64.4,1.5317073170731708,10.301045296167247,2.364864864864865,32.16101694915254,6.066666666666666,46.59375,5.1464401294498385,0.011326860841423949,17.7816091954023,9.181034482758621,4.464285714285714,0.4625,2.297,2.593,2.564,1.284,1.262,2.515,5.948,41.4372291797789
./batchData/optuna_batch,optuna_452c31b8,1.299973931304107,0.7817831337980041,1.2308340234631845,0.9146626316801099,5.004172617331134,3.1536425825870595,0.6747534859333062,4.893858071459252,0.44464014347111264,0.4886940101283522,0.446447639720732,0.6692684855722091,0.15308771311807595,1.477606757009935,0.12385499066078332,0.14058234272848552,1.2534134449730183,0.9642734784442163,6.516129032258065,4.146820809248555,8.085714285714285,34.46067415730337,2.317757009345794,10.131578947368421,1.8292046936114732,3.5833333333333335,49.854166666666664,7.833333333333333,62.857142857142854,12.75,14.925925925925926,21.130434782608695,3.076923076923077,16.9,28.87317073170732,15.442508710801393,15.83108108108108,23.127118644067796,3.2,7.875,16.801779935275082,9.34789644012945,30.632183908045977,0.13793103448275862,2.4375,3.9625,2.297,2.593,2.564,1.284,1.262,2.515,5.948,43.882469546472066
./batchData/optuna_batch,optuna_c76879ff,1.3676386682926847,0.7923980226673947,0.8627354282373669,0.8087874795360319,5.651966470598413,2.856865230677654,1.011116719058894,5.833455288256032,0.1683939732506771,0.43306751451822734,0.49013900936179794,0.5567388770015733,0.42630828371530916,1.454681206911677,0.33177413794167604,0.31731089371030446,1.1671721872596081,0.9746727415016827,6.264516129032258,3.629479768786127,10.228571428571428,13.393258426966293,2.177570093457944,16.44736842105263,9.113428943937418,13.083333333333334,9.645833333333334,2.6666666666666665,35.285714285714285,3.0838509316770186,3.925925925925926,6.6521739130434785,24.076923076923077,66.5,37.239024390243905,4.797212543554007,2.9155405405405403,9.725988700564972,30.133333333333333,53.421875,4.075242718446602,0.049352750809061485,6.781609195402299,69.31896551724138,4.785714285714286,2.1125,2.297,2.593,2.564,1.284,1.262,2.515,5.948,63.72367445105294
