cell_id,spike_time,trial,stage
0,38.2896,0,3
0,428.10873333333336,16,0
0,508.7846666666667,19,2
0,555.6707,21,3
0,555.784,21,3
0,567.2641666666667,22,3
0,647.2478333333333,24,0
0,651.6341,24,3
0,670.8951666666667,25,0
0,674.7118666666667,25,3
0,686.4730666666667,26,3
0,686.7459,26,3
0,686.8614333333334,26,3
0,696.0066333333334,27,1
0,697.4987,27,2
0,698.3814,27,3
0,698.7075333333333,27,3
0,699.3668666666667,27,3
0,717.7853666666667,28,2
0,734.1325666666667,29,1
0,734.1534666666666,29,1
0,734.5344,29,1
0,736.2374333333333,29,2
0,771.9652666666667,30,2
0,772.0936,30,2
0,774.0829666666667,30,3
0,811.2261333333333,31,3
0,812.2284333333333,31,3
0,812.4194,31,3
0,812.5114333333333,31,3
0,827.7747333333334,32,1
0,828.5645333333334,32,1
0,830.9912666666667,32,3
0,831.0965,32,3
0,831.2936333333333,32,3
0,843.0515,33,3
0,861.4569,34,3
0,861.5553333333334,34,3
0,862.6025333333333,34,3
0,862.7729333333334,34,3
0,862.9278333333334,34,3
0,885.1496000000001,35,2
0,887.1069333333334,35,3
0,887.3093333333334,35,3
0,920.7177333333334,36,2
0,920.8100000000001,36,2
0,921.0466333333334,36,2
0,929.8284333333334,37,1
0,929.9337666666667,37,1
0,944.0637333333334,38,2
0,967.9092333333334,39,1
0,971.1868666666667,39,3
0,971.3303666666667,39,3
0,1007.2085000000001,41,1
0,1009.5870333333334,41,2
0,1009.7172333333334,41,2
0,1009.7277,41,2
0,1009.9934000000001,41,2
0,1010.7523333333334,41,3
0,1011.3101333333334,41,3
0,1011.4602333333333,41,3
0,1011.5520666666667,41,3
0,1011.5744000000001,41,3
0,1015.5602,42,1
0,1017.5934666666667,42,2
0,1018.2890000000001,42,3
0,1036.0818333333334,43,3
0,1036.3549,43,3
0,1043.3636333333334,44,3
0,1044.6213666666667,44,3
0,1044.7983000000002,44,3
0,1061.5149000000001,45,3
0,1062.8579666666667,45,3
0,1071.7957666666666,46,1
0,1071.9904333333334,46,1
0,1072.0087666666668,46,1
0,1072.2081,46,1
0,1072.5608,46,2
0,1073.6370666666667,46,3
0,1085.2673,47,3
0,1090.2826666666667,48,1
0,1090.7922333333333,48,1
0,1105.4793333333334,49,3
0,1126.3604666666668,50,3
0,1127.3630666666668,50,3
0,1138.4079333333334,51,2
0,1139.4105333333334,51,3
0,1140.7157333333334,51,3
0,1159.3557333333333,52,0
0,1161.9805666666666,52,2
0,1162.9371333333333,52,3
0,1163.8302,52,3
0,1164.3386333333333,52,3
0,1181.5947333333334,53,1
0,1185.4273333333333,53,3
0,1193.0006333333333,54,1
0,1215.9218333333333,55,1
0,1218.6860333333334,55,2
0,1219.8509000000001,55,3
0,1220.4091333333333,55,3
0,1220.5112333333334,55,3
0,1220.6284,55,3
0,1220.7188,55,3
0,1220.7688,55,3
0,1220.779,55,3
0,1221.0412333333334,55,3
0,1221.0529000000001,55,3
0,1226.8665666666668,56,0
0,1230.2465333333334,56,1
0,1230.5602000000001,56,2
0,1232.4185333333335,56,3
0,1244.7552,57,0
0,1245.1808,57,0
0,1245.6754,57,0
0,1246.2741666666668,57,1
0,1248.3686333333335,57,2
0,1261.6678333333334,58,3
0,1261.9484666666667,58,3
0,1262.8792666666668,58,3
0,1266.5604333333333,59,1
0,1266.7084666666667,59,1
0,1268.9681,59,1
0,1269.2888,59,2
0,1271.2714,59,3
0,1284.719,60,2
0,1285.6787666666667,60,3
0,1285.7540666666666,60,3
0,1300.0433666666668,61,0
0,1300.4491,61,0
0,1300.6205666666667,61,0
0,1300.8472000000002,61,1
0,1303.4332666666667,61,2
