cell_id,spike_time,trial,stage
0,32.599066666666666,0,0
0,32.83123333333334,0,0
0,34.262933333333336,0,1
0,34.30233333333334,0,1
0,34.63613333333333,0,1
0,35.3213,0,1
0,35.747933333333336,0,1
0,35.79436666666667,0,1
0,35.89183333333334,0,1
0,35.9424,0,2
0,36.18033333333334,0,2
0,36.19886666666667,0,2
0,36.21673333333334,0,2
0,36.22466666666667,0,2
0,36.25203333333334,0,2
0,36.26773333333333,0,2
0,36.281666666666666,0,2
0,36.291533333333334,0,2
0,36.295966666666665,0,2
0,36.301766666666666,0,2
0,36.308800000000005,0,2
0,36.31816666666667,0,2
0,36.727133333333335,0,2
0,36.98466666666667,0,3
0,37.0419,0,3
0,37.054700000000004,0,3
0,37.06456666666667,0,3
0,37.16116666666667,0,3
0,37.17776666666667,0,3
0,37.2717,0,3
0,37.59946666666667,0,3
0,37.81773333333334,0,3
0,38.034400000000005,0,3
0,38.0601,0,3
0,38.158833333333334,0,3
0,38.2182,0,3
0,38.2901,0,3
0,38.365433333333335,0,3
0,60.4185,1,1
0,60.450833333333335,1,1
0,61.91813333333334,1,1
0,62.22466666666667,1,1
0,62.65323333333334,1,2
0,62.6741,1,2
0,62.697766666666666,1,2
0,62.77160000000001,1,2
0,62.934533333333334,1,2
0,63.71426666666667,1,3
0,64.34246666666667,1,3
0,64.98473333333334,1,3
0,67.07616666666667,2,0
0,67.13080000000001,2,0
0,67.82596666666667,2,0
0,68.51253333333334,2,1
0,70.39143333333334,2,2
0,70.43603333333334,2,2
0,70.45073333333333,2,2
0,70.4822,2,2
0,70.5249,2,2
0,70.73616666666668,2,2
0,70.82246666666667,2,2
0,71.64783333333334,2,3
0,72.37866666666667,2,3
0,117.26263333333334,3,0
0,117.45490000000001,3,0
0,117.9985,3,1
0,118.06323333333334,3,1
0,120.27753333333334,3,2
0,120.29830000000001,3,2
0,120.31263333333334,3,2
0,120.3298,3,2
0,120.57273333333335,3,2
0,121.13776666666668,3,3
0,121.21956666666668,3,3
0,121.23803333333333,3,3
0,121.66783333333333,3,3
0,121.68383333333334,3,3
0,121.6978,3,3
0,121.70943333333334,3,3
0,121.71593333333334,3,3
0,121.7337,3,3
0,128.96696666666668,4,0
0,129.45673333333335,4,1
0,130.33816666666667,4,1
0,132.03576666666666,4,2
0,132.07726666666667,4,2
0,132.10133333333334,4,2
0,132.1244,4,2
0,133.34820000000002,4,2
0,133.50063333333333,4,2
0,133.99566666666666,4,3
0,134.41996666666668,4,3
0,134.42676666666668,4,3
0,159.35833333333335,5,1
0,159.47343333333333,5,1
0,161.70270000000002,5,1
0,161.82600000000002,5,1
0,162.27883333333335,5,2
0,162.29446666666666,5,2
0,162.3726,5,2
0,162.40426666666667,5,2
0,162.43446666666668,5,2
0,162.6832,5,2
0,162.73313333333334,5,2
0,162.8032,5,2
0,162.88216666666668,5,2
0,162.9532,5,2
0,163.43346666666667,5,3
0,163.485,5,3
0,163.51163333333335,5,3
0,163.61226666666667,5,3
0,163.6571,5,3
0,163.68743333333333,5,3
0,190.90266666666668,6,1
0,190.9694,6,1
0,191.56400000000002,6,1
0,192.09343333333334,6,1
0,193.58280000000002,6,2
0,193.6014,6,2
0,193.62,6,2
0,193.86753333333334,6,2
0,193.88813333333334,6,2
0,193.9208,6,2
0,194.27550000000002,6,3
0,194.2923,6,3
0,194.4113,6,3
0,194.4818666666667,6,3
0,194.5137,6,3
0,194.95170000000002,6,3
0,195.01133333333334,6,3
0,195.35343333333336,6,3
0,195.895,6,3
0,208.62256666666667,7,0
0,210.85653333333335,7,1
0,211.76293333333334,7,2
0,211.84623333333334,7,2
0,211.94356666666667,7,2
0,211.95846666666668,7,2
0,211.99956666666668,7,2
0,212.15383333333335,7,2
0,212.17756666666668,7,2
0,212.25403333333335,7,2
0,212.26510000000002,7,2
0,212.3056,7,2
0,212.33183333333335,7,2
0,212.37833333333333,7,2
0,212.4201666666667,7,2
0,212.98853333333335,7,3
0,213.00346666666667,7,3
0,236.23513333333335,8,0
0,236.42546666666667,8,1
0,236.4495,8,1
0,236.50300000000001,8,1
0,238.5277,8,2
0,238.54500000000002,8,2
0,238.57483333333334,8,2
0,238.59866666666667,8,2
0,238.6265666666667,8,2
0,238.67083333333335,8,2
0,239.54376666666667,8,3
0,240.19456666666667,8,3
0,240.90853333333334,8,3
0,268.03863333333334,9,1
0,268.08913333333334,9,1
0,268.1297666666667,9,1
0,268.98286666666667,9,1
0,270.1693666666667,9,1
0,270.4184,9,1
0,270.611,9,2
0,271.34333333333336,9,3
0,271.40493333333336,9,3
0,271.47743333333335,9,3
0,271.49343333333337,9,3
0,271.97453333333334,9,3
0,272.1016,9,3
0,272.1596666666667,9,3
0,272.23383333333334,9,3
0,272.5387,9,3
0,272.8765333333333,9,3
0,272.9427,9,3
0,272.9695666666667,9,3
0,290.2074,10,1
0,291.03336666666667,10,1
0,291.84663333333333,10,1
0,292.196,10,2
0,292.32456666666667,10,2
0,292.3585,10,2
0,292.3783,10,2
0,292.41333333333336,10,2
0,292.4630333333333,10,2
0,292.52796666666666,10,2
0,292.5451,10,2
0,292.55473333333333,10,2
0,292.58000000000004,10,2
0,292.719,10,2
0,292.9347666666667,10,3
0,293.05376666666666,10,3
0,293.09933333333333,10,3
0,293.12603333333334,10,3
0,293.82483333333334,10,3
0,294.1824666666667,10,3
0,294.2504,10,3
0,317.7091666666667,11,0
0,317.91193333333337,11,1
0,318.60016666666667,11,1
0,318.6496,11,1
0,320.52726666666666,11,1
0,320.76796666666667,11,2
0,320.8541,11,2
0,321.57460000000003,11,3
0,321.6347,11,3
0,321.68826666666666,11,3
0,321.70233333333334,11,3
0,321.74443333333335,11,3
0,321.7741666666667,11,3
0,321.8582,11,3
0,322.4572,11,3
0,322.988,11,3
0,323.03513333333336,11,3
0,323.0695666666667,11,3
0,323.2346,11,3
0,349.9589,12,1
0,350.9407,12,1
0,351.09473333333335,12,1
0,351.9218666666667,12,1
0,352.12940000000003,12,2
0,352.1581,12,2
0,352.2440666666667,12,2
0,352.2658666666667,12,2
0,353.2669,12,3
0,353.30330000000004,12,3
0,353.4064333333333,12,3
0,353.5059,12,3
0,353.66060000000004,12,3
0,354.0606,12,3
0,363.8414,13,0
0,364.67560000000003,13,1
0,364.71433333333334,13,1
0,364.7275666666667,13,1
0,364.7959,13,1
0,364.8214666666667,13,1
0,364.9977,13,1
0,365.0419,13,1
0,365.2724,13,1
0,365.70393333333334,13,1
0,366.8989,13,1
0,366.9666666666667,13,2
0,366.9924666666667,13,2
0,367.01653333333337,13,2
0,367.031,13,2
0,367.0787,13,2
0,367.4599666666667,13,2
0,367.5792666666667,13,2
0,367.6553666666667,13,2
0,367.77840000000003,13,3
0,367.79873333333336,13,3
0,367.8299666666667,13,3
0,367.8656666666667,13,3
0,368.6142666666667,13,3
0,368.9886,13,3
0,369.2108,13,3
0,369.2565333333333,13,3
0,369.3094666666667,13,3
0,369.33903333333336,13,3
0,369.3694666666667,13,3
0,375.37370000000004,14,0
0,376.3592666666667,14,1
0,377.74576666666667,14,1
0,378.04873333333336,14,1
0,378.3059,14,1
0,378.4146666666667,14,1
0,378.8611666666667,14,2
0,378.8847,14,2
0,378.9209333333333,14,2
0,379.0665,14,2
0,379.8378666666667,14,3
0,380.5015333333333,14,3
0,381.11466666666666,14,3
0,381.13530000000003,14,3
0,381.1521333333333,14,3
0,381.214,14,3
0,413.67810000000003,15,1
0,415.2925333333334,15,1
0,415.56710000000004,15,1
0,416.16683333333333,15,2
0,416.19870000000003,15,2
0,416.6741666666667,15,2
0,416.79920000000004,15,3
0,416.85613333333333,15,3
0,416.8836,15,3
0,416.91176666666667,15,3
0,416.9468,15,3
0,416.9646666666667,15,3
0,416.9836,15,3
0,417.0135,15,3
0,417.07483333333334,15,3
0,417.7165,15,3
0,417.85873333333336,15,3
0,418.0857666666667,15,3
0,418.44010000000003,15,3
0,418.4655,15,3
0,428.36123333333336,16,0
0,428.8199666666667,16,0
0,428.9266,16,1
0,429.0538,16,1
0,429.0795,16,1
0,429.101,16,1
0,429.6971666666667,16,1
0,430.15923333333336,16,1
0,430.45950000000005,16,1
0,430.6608,16,1
0,430.7149,16,1
0,430.8039,16,1
0,430.90613333333334,16,1
0,431.2662666666667,16,2
0,431.29923333333335,16,2
0,431.3455333333334,16,2
0,431.3827,16,2
0,431.44003333333336,16,2
0,431.5138,16,2
0,431.52903333333336,16,2
0,431.57713333333334,16,2
0,431.64546666666666,16,2
0,431.70816666666667,16,2
0,431.7239,16,2
0,431.9164,16,2
0,432.1426,16,3
0,432.1804333333333,16,3
0,432.21753333333334,16,3
0,432.29733333333337,16,3
0,432.4583666666667,16,3
0,433.3580666666667,16,3
0,433.41516666666666,16,3
0,433.61353333333335,16,3
0,433.65040000000005,16,3
0,439.28063333333336,17,0
0,439.35923333333335,17,0
0,439.4474333333334,17,0
0,439.4695666666667,17,0
0,439.49593333333337,17,0
0,439.5851333333334,17,0
0,439.71793333333335,17,0
0,439.7941666666667,17,0
0,440.0531666666667,17,0
0,440.1236333333334,17,0
0,440.14843333333334,17,0
0,440.1736333333333,17,0
0,440.27403333333336,17,0
0,440.30216666666666,17,0
0,440.34270000000004,17,0
0,440.3720333333334,17,0
0,440.4095666666667,17,0
0,440.64883333333336,17,1
0,440.7157,17,1
0,440.8213666666667,17,1
0,442.77500000000003,17,2
0,442.80713333333335,17,2
0,443.30623333333335,17,2
0,443.4503666666667,17,2
0,443.8367,17,3
0,443.8797,17,3
0,443.9107,17,3
0,443.91693333333336,17,3
0,443.94323333333335,17,3
0,444.04150000000004,17,3
0,444.75613333333337,17,3
0,444.78360000000004,17,3
0,490.3638,18,0
0,490.5689666666667,18,0
0,491.6431,18,1
0,491.7241333333334,18,1
0,492.65630000000004,18,1
0,492.9367666666667,18,1
0,493.3072,18,2
0,493.37233333333336,18,2
0,493.6786666666667,18,2
0,493.80323333333337,18,2
0,494.0891666666667,18,2
0,494.48673333333335,18,3
0,494.50010000000003,18,3
0,494.52633333333335,18,3
0,494.59680000000003,18,3
0,494.6827333333334,18,3
0,495.1379,18,3
0,495.2400333333334,18,3
0,495.2766666666667,18,3
0,495.3718,18,3
0,495.6342333333334,18,3
0,495.66543333333334,18,3
0,495.6920666666667,18,3
